 County Name ,Metro Area,NCHS Urban Rural Classification (2013)
Panola County,Non-Metro,Non-core
Parker County,Metro,Large Fringe Metro
Parmer County,Non-Metro,Non-core
Pecos County,Non-Metro,Non-core
Polk County,Non-Metro,Non-core
Potter County,Metro,Medium Metro
Presidio County,Non-Metro,Non-core
Rains County,Non-Metro,Non-core
Randall County,Metro,Medium Metro
Reagan County,Non-Metro,Non-core
Real County,Non-Metro,Non-core
Red River County,Non-Metro,Non-core
Reeves County,Non-Metro,Micropolitan
Refugio County,Non-Metro,Non-core
Roberts County,Non-Metro,Non-core
Robertson County,Metro,Small Metro
Rockwall County,Metro,Large Fringe Metro
Runnels County,Non-Metro,Non-core
Rusk County,Metro,Small Metro
Sabine County,Non-Metro,Non-core
San Augustine County,Non-Metro,Non-core
San Jacinto County,Non-Metro,Non-core
San Patricio County,Metro,Medium Metro
San Saba County,Non-Metro,Non-core
Schleicher County,Non-Metro,Non-core
Scurry County,Non-Metro,Micropolitan
Shackelford County,Non-Metro,Non-core
Shelby County,Non-Metro,Non-core
Sherman County,Non-Metro,Non-core
Smith County,Metro,Small Metro
Somervell County,Metro,Large Fringe Metro
Starr County,Non-Metro,Micropolitan
Stephens County,Non-Metro,Non-core
Sterling County,Non-Metro,Non-core
Stonewall County,Non-Metro,Non-core
Sutton County,Non-Metro,Non-core
Swisher County,Non-Metro,Non-core
Tarrant County,Metro,Large Central Metro
Taylor County,Metro,Small Metro
Terrell County,Non-Metro,Non-core
Terry County,Non-Metro,Non-core
Throckmorton County,Non-Metro,Non-core
Titus County,Non-Metro,Micropolitan
Tom Green County,Metro,Small Metro
Travis County,Metro,Large Central Metro
Trinity County,Non-Metro,Micropolitan
Tyler County,Non-Metro,Non-core
Upshur County,Metro,Small Metro
Upton County,Non-Metro,Non-core
Uvalde County,Non-Metro,Micropolitan
Val Verde County,Non-Metro,Micropolitan
Van Zandt County,Non-Metro,Non-core
Victoria County,Metro,Small Metro
Walker County,Non-Metro,Micropolitan
Waller County,Metro,Large Fringe Metro
Ward County,Non-Metro,Non-core
Washington County,Non-Metro,Micropolitan
Webb County,Metro,Medium Metro
Wharton County,Non-Metro,Micropolitan
Wheeler County,Non-Metro,Non-core
Wichita County,Metro,Small Metro
Wilbarger County,Non-Metro,Micropolitan
Willacy County,Non-Metro,Micropolitan
Williamson County,Metro,Large Fringe Metro
Wilson County,Metro,Large Fringe Metro
Winkler County,Non-Metro,Non-core
Wise County,Metro,Large Fringe Metro
Wood County,Non-Metro,Non-core
Yoakum County,Non-Metro,Non-core
Young County,Non-Metro,Non-core
Zapata County,Non-Metro,Micropolitan
Zavala County,Non-Metro,Non-core
